arquivo_pdf	arquivo_tex	status	mensagem
2006-the-macroeconomist-as-scientist-and-engineer.pdf	2006-the-macroeconomist-as-scientist-and-engineer.tex	SKIP	arquivo .tex já existe
2012-the-new-keynesian-synthesis.pdf	2012-the-new-keynesian-synthesis.tex	SKIP	arquivo .tex já existe
A Theoretical Framework for Monetary Analysis.pdf	A Theoretical Framework for Monetary Analysis.tex	OK	traduzido com sucesso
After Keynesian Macroeconomics.pdf	After Keynesian Macroeconomics.tex	SKIP	arquivo .tex já existe
afterphil78.pdf	afterphil78.tex	FAIL	Falha após 6 tentativas: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3-flash\nPlease retry in 33.124217835s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '33s'}]}}
baumol1977.pdf	baumol1977.tex	SKIP	arquivo .tex já existe
Economic Policy in Marginalist and Early Neoclassical Economics.pdf	Economic Policy in Marginalist and Early Neoclassical Economics.tex	SKIP	arquivo .tex já existe
Fisher-DoctrineLaissezFaire-1907.pdf	Fisher-DoctrineLaissezFaire-1907.tex	SKIP	arquivo .tex já existe
Hicks_Mr. Keynes and the Classics.pdf	Hicks_Mr. Keynes and the Classics.tex	SKIP	arquivo .tex já existe
lucas-1976.pdf	lucas-1976.tex	SKIP	arquivo .tex já existe
lucas1980.pdf	lucas1980.tex	SKIP	arquivo .tex já existe
Mitchel_Cap5_Wider_Aspects_BC.pdf	Mitchel_Cap5_Wider_Aspects_BC.tex	SKIP	arquivo .tex já existe
Mitchell-StatisticsGovernment-1919.pdf	Mitchell-StatisticsGovernment-1919.tex	SKIP	arquivo .tex já existe
Nobel_lecture_inflation_and_unemployment.pdf	Nobel_lecture_inflation_and_unemployment.tex	SKIP	arquivo .tex já existe
Real business cycle models_ past, present, and future..pdf	Real business cycle models_ past, present, and future..tex	SKIP	arquivo .tex já existe
Solow_Samuelson_AntiInflationPolicy.pdf	Solow_Samuelson_AntiInflationPolicy.tex	SKIP	arquivo .tex já existe
Stiglitz_Greenwald.pdf	Stiglitz_Greenwald.tex	SKIP	arquivo .tex já existe
The New Neoclassical Synthesis and the Role of Monetary Policy.pdf	The New Neoclassical Synthesis and the Role of Monetary Policy.tex	SKIP	arquivo .tex já existe
The-Doctrine-of-Fascism.pdf	The-Doctrine-of-Fascism.tex	SKIP	arquivo .tex já existe
The.Role_.of_.Monetary.Policy.pdf	The.Role_.of_.Monetary.Policy.tex	SKIP	arquivo .tex já existe
the_end_of_laissez_faire_keynes.pdf	the_end_of_laissez_faire_keynes.tex	OK	traduzido com sucesso
to_marginalism_to_economics.pdf	to_marginalism_to_economics.tex	SKIP	arquivo .tex já existe
